 ,Area,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,31.927,9.884,4.113,21.090,0.678,10.174,44,65,24.624,4.631,2.403,0.416,0.917
2,295.811,22.630,16.643,3.349,0.844,23.658,78,74,167.775,16.662,1.360,0.735,0.971
3,48.411,10.326,5.970,177.192,0.843,10.376,147,63,15.068,5.780,1.730,0.578,0.956
4,27.175,5.963,5.802,77.224,0.963,6.551,208,54,118.072,5.780,1.028,0.973,0.943
5,23.166,6.383,4.621,26.231,0.870,6.861,256,66,38.157,5.010,1.381,0.724,0.929
6,174.784,18.145,12.264,28.683,0.753,19.774,295,90,33.071,13.574,1.479,0.676,0.933
7,121.770,16.706,9.281,22.476,0.771,17.764,346,79,24.341,10.300,1.800,0.556,0.949
8,157.706,14.623,13.732,134.242,0.893,15.347,413,55,118.496,14.014,1.065,0.939,0.965
9,37.719,9.871,4.865,35.713,0.761,10.483,460,72,36.027,5.296,2.029,0.493,0.930
10,87.615,11.679,9.552,59.631,0.907,12.409,513,81,53.842,9.749,1.223,0.818,0.959
11,21.978,8.093,3.458,26.388,0.728,8.452,565,65,24.228,3.936,2.341,0.427,0.908
12,4.603,3.136,1.869,127.558,0.960,3.553,624,54,130.601,2.180,1.678,0.596,0.899
13,125.185,15.477,10.299,66.274,0.805,15.986,673,94,74.624,10.662,1.503,0.665,0.933
14,17.820,6.389,3.551,17.946,0.853,6.730,722,63,23.629,3.854,1.799,0.556,0.927
15,34.155,9.127,4.765,5.738,0.834,9.265,771,63,16.928,4.624,1.915,0.522,0.954
16,126.373,16.205,9.929,30.595,0.804,17.926,813,77,25.463,10.355,1.632,0.613,0.955
17,13.662,5.388,3.229,11.965,0.862,5.611,879,61,15.945,3.468,1.669,0.599,0.920
18,18.414,7.623,3.076,91.108,0.689,7.571,934,73,75.256,3.083,2.478,0.403,0.929
19,122.661,15.896,9.825,49.304,0.819,17.034,975,90,52.352,10.559,1.618,0.618,0.960
20,14.404,4.508,4.068,64.325,0.938,4.874,1040,66,71.565,4.239,1.108,0.902,0.911
21,18.414,6.551,3.579,173.318,0.791,6.829,1085,55,163.610,3.468,1.830,0.546,0.936
22,40.986,8.381,6.226,135.841,0.887,9.095,1136,56,143.616,6.812,1.346,0.743,0.957
23,13.810,5.152,3.413,77.470,0.912,5.367,1195,67,68.962,3.468,1.510,0.662,0.925
24,68.161,12.417,6.989,4.155,0.778,13.305,1232,65,10.008,7.322,1.777,0.563,0.942
25,65.191,10.999,7.547,152.603,0.899,11.457,1287,60,160.346,7.802,1.457,0.686,0.949
26,14.107,5.865,3.062,1.426,0.836,5.982,1345,60,14.931,3.083,1.915,0.522,0.909
27,37.125,7.967,5.933,68.962,0.801,8.787,1398,72,52.125,6.049,1.343,0.745,0.923
28,37.422,8.390,5.679,97.325,0.889,8.416,1454,54,105.945,5.780,1.477,0.677,0.942
29,32.521,10.098,4.100,22.440,0.649,10.859,1496,67,27.474,4.653,2.463,0.406,0.932
30,23.611,7.990,3.762,76.054,0.772,8.166,1557,74,70.710,4.005,2.124,0.471,0.916
31,29.997,7.662,4.985,34.755,0.900,8.247,1604,68,37.405,5.177,1.537,0.651,0.942
32,14.553,5.436,3.408,27.356,0.918,5.690,1658,63,28.301,3.741,1.595,0.627,0.929
33,50.490,9.261,6.941,127.988,0.882,9.726,1709,54,123.690,7.500,1.334,0.750,0.942
34,25.096,7.013,4.556,154.074,0.911,7.271,1760,55,147.995,4.825,1.539,0.650,0.936
35,61.330,10.130,7.708,174.929,0.908,10.603,1807,60,160.907,7.707,1.314,0.761,0.954
36,82.269,10.505,9.971,29.878,0.833,11.965,1857,67,14.931,10.414,1.054,0.949,0.930
37,51.381,9.815,6.666,3.713,0.775,10.518,1910,61,171.573,7.534,1.472,0.679,0.908
38,33.115,9.009,4.680,110.647,0.759,9.384,1973,54,109.179,5.170,1.925,0.520,0.908
39,15.295,4.929,3.951,26.666,0.965,5.354,2021,62,30.256,4.239,1.248,0.801,0.924
40,27.621,7.624,4.613,177.982,0.895,7.860,2069,58,168.690,4.624,1.653,0.605,0.935
41,298.632,22.674,16.769,63.427,0.803,24.201,2106,104,37.235,17.956,1.352,0.740,0.956
42,9.652,3.921,3.134,9.241,0.973,4.150,2178,60,21.801,3.083,1.251,0.799,0.922
43,42.025,10.003,5.349,103.700,0.804,10.115,2231,54,107.745,5.575,1.870,0.535,0.937
44,203.147,24.169,10.702,172.162,0.707,24.509,2256,63,163.560,10.790,2.258,0.443,0.957
45,12.177,5.633,2.752,94.007,0.804,5.831,2338,54,97.595,2.697,2.047,0.489,0.921
46,31.630,8.616,4.674,88.912,0.745,9.447,2389,78,78.232,5.010,1.843,0.543,0.910
47,22.572,6.370,4.512,150.341,0.892,6.893,2434,56,153.435,4.998,1.412,0.708,0.921
48,25.987,7.247,4.566,29.145,0.882,7.591,2485,64,23.962,4.905,1.587,0.630,0.928
49,17.671,7.017,3.206,25.845,0.732,7.271,2538,65,32.005,3.619,2.189,0.457,0.888
50,26.878,6.347,5.392,11.289,0.874,6.979,2589,62,173.660,5.810,1.177,0.850,0.889
51,132.313,17.514,9.619,21.991,0.787,17.947,2627,71,14.931,9.823,1.821,0.549,0.957
52,14.850,5.142,3.677,14.862,0.907,5.517,2695,61,24.775,3.854,1.399,0.715,0.926
53,42.619,10.043,5.403,124.322,0.776,10.483,2746,54,126.027,5.934,1.859,0.538,0.933
54,28.066,6.928,5.158,9.098,0.861,7.678,2796,64,17.526,5.395,1.343,0.744,0.920
55,140.629,19.378,9.240,104.114,0.686,20.698,2845,54,114.179,10.163,2.097,0.477,0.954
56,89.694,14.797,7.718,21.839,0.745,14.321,2891,72,23.806,7.657,1.917,0.522,0.944
57,144.341,15.909,11.552,13.121,0.680,18.279,2941,92,34.695,13.347,1.377,0.726,0.871
58,56.727,11.993,6.022,148.312,0.778,12.247,2998,57,155.854,6.199,1.991,0.502,0.931
59,23.314,7.439,3.990,53.585,0.773,8.019,3058,71,54.782,4.360,1.864,0.536,0.915
60,50.787,10.598,6.102,34.160,0.814,11.042,3104,69,29.249,6.540,1.737,0.576,0.942
61,20.196,6.011,4.278,13.301,0.915,6.226,3161,64,21.801,4.239,1.405,0.712,0.948
62,58.806,10.634,7.041,157.039,0.792,11.739,3206,62,156.801,7.583,1.510,0.662,0.938
63,124.146,20.093,7.867,178.737,0.576,21.799,3244,68,8.130,9.634,2.554,0.392,0.866
64,71.577,10.392,8.770,125.793,0.936,10.906,3369,55,122.005,9.134,1.185,0.844,0.960
65,18.117,5.190,4.445,100.996,0.968,5.558,3424,54,123.690,4.239,1.168,0.856,0.949
66,15.295,5.340,3.647,179.348,0.831,5.831,3472,59,7.595,3.854,1.464,0.683,0.900
67,127.264,18.431,8.792,45.325,0.712,19.577,3511,86,36.193,9.449,2.096,0.477,0.938
68,178.645,21.939,10.368,8.785,0.720,20.898,3306,92,22.782,10.715,2.116,0.473,0.930
69,47.668,10.418,5.826,98.212,0.811,10.376,50,179,105.068,6.122,1.788,0.559,0.936
70,8.910,3.847,2.949,101.185,0.929,4.394,105,179,127.875,2.697,1.305,0.766,0.984
71,106.920,12.592,10.811,79.407,0.822,13.460,151,212,66.371,11.053,1.165,0.859,0.949
72,14.998,5.360,3.563,10.027,0.888,5.690,214,188,28.301,3.468,1.504,0.665,0.922
73,13.216,5.450,3.088,83.561,0.793,5.870,274,193,66.801,3.083,1.765,0.567,0.918
74,8.019,3.636,2.808,27.820,0.894,4.168,328,187,33.690,3.083,1.295,0.772,0.900
75,63.558,10.622,7.618,31.416,0.872,11.650,376,198,34.216,8.092,1.394,0.717,0.957
76,24.354,6.816,4.549,97.876,0.893,6.947,441,179,109.440,4.624,1.498,0.667,0.934
77,22.869,6.305,4.618,169.899,0.890,6.893,493,180,153.435,4.624,1.365,0.733,0.928
